序号,学校代码,学校名称,评选结果,排名百分比
1,10286,东南大学,A+,前2%或前2名
2,10613,西南交通大学,A+,前2%或前2名
3,10004,北京交通大学,A-,5%～10%
4,10006,北京航空航天大学,A-,5%～10%
5,10247,同济大学,A-,5%～10%
6,10151,大连海事大学,B+,10%～20%
7,10213,哈尔滨工业大学,B+,10%～20%
8,10497,武汉理工大学,B+,10%～20%
9,10533,中南大学,B+,10%～20%
10,10710,长安大学,B+,10%～20%
11,10183,吉林大学,B,20%～30%
12,10254,上海海事大学,B,20%～30%
13,10287,南京航空航天大学,B,20%～30%
14,10536,长沙理工大学,B,20%～30%
15,10618,重庆交通大学,B,20%～30%
16,10732,兰州交通大学,B,20%～30%
17,10005,北京工业大学,B-,30%～40%
18,10404,华东交通大学,B-,30%～40%
19,10561,华南理工大学,B-,30%～40%
20,10699,西北工业大学,B-,30%～40%
21,10059,中国民航大学,C+,40%～50%
22,10107,石家庄铁道大学,C+,40%～50%
23,10225,东北林业大学,C+,40%～50%
24,10248,上海交通大学,C+,40%～50%
25,10299,江苏大学,C+,40%～50%
26,90045,空军工程大学,C+,40%～50%
27,10016,北京建筑大学,C,50%～60%
28,10141,大连理工大学,C,50%～60%
29,10150,大连交通大学,C,50%～60%
30,10532,湖南大学,C,50%～60%
31,10558,中山大学,C,50%～60%
32,10003,清华大学,C-,60%～70%
33,10252,上海理工大学,C-,60%～70%
34,10294,河海大学,C-,60%～70%
35,10298,南京林业大学,C-,60%～70%
36,10674,昆明理工大学,C-,60%～70%
